id_tasas_vida,edad,porcentaje
1,14,11.9015
2,15,11.9015
3,16,11.9015
4,17,11.9015
5,18,11.9015
6,19,12.0039
7,20,12.0039
8,21,12.003
9,22,12.0068
10,23,12.0188
11,24,12.0223
12,25,12.0339
13,26,12.0411
14,27,12.0441
15,28,12.051
16,29,12.0616
17,30,12.0641
18,31,12.0742
19,32,12.0801
20,33,12.0858
21,34,12.0949
22,35,12.0964
23,36,12.1086
24,37,12.1131
25,38,12.0931
26,39,12.1219
27,40,12.1596
28,41,12.1787
29,42,12.1933
30,43,12.2101
31,44,12.2319
32,45,12.2612
33,46,12.291
34,47,12.3238
35,48,12.3755
36,49,12.419
37,50,12.4827
38,51,12.5502
39,52,12.6283
40,53,12.7086
41,54,12.7899
42,55,12.869
43,56,12.9342
44,57,12.9895
45,58,13.0397
46,59,13.088
47,60,13.1287
48,61,13.1747
49,62,13.2274
50,63,13.2434
51,64,13.2614
52,65,13.2734
53,66,13.2845
54,67,13.2946
55,68,13.311
56,69,13.3272
57,70,13.343
58,71,13.3589
59,72,13.3753
60,73,13.3909
61,74,13.4065
62,75,13.4215
63,76,36.4068
64,77,36.4478
65,78,36.4883
66,79,36.5279
67,80,36.569
68,81,36.6082
69,82,36.6464
70,83,36.6848
71,84,36.7218
72,85,36.7585
73,86,36.7933
74,87,36.8265
75,88,36.8581
76,89,36.8869
77,90,36.9133
78,91,36.9366
79,92,36.9577
80,93,36.9792
81,94,37.0035
82,95,37.0485
83,96,37.1365
84,97,37.3407
85,98,37.8238
86,99,39.1284
87,100,41.0055
